O3,CO,NO,NO2,Nox,SO2,PM10,PM2.5
15.367,1.333,38.383,34.177,72.525,1.879,41.278,
15.176,1.563,67.147,35.33,102.321,2.744,42.265,
14.637,0.974,14.641,29.505,44.088,,40.196,
13.798,0.794,8.219,21.88,30.099,3.446,13.427,
13.732,0.837,15.224,26.913,42.129,3.932,19.417,
15.284,1.006,20.078,32.385,52.409,5.523,42.21,
18.08,0.827,11.761,29.053,40.775,4.184,29.751,
16.167,0.973,16.875,33.292,50.105,9.768,33.369,
13.984,1.541,46.258,41.041,87.276,,50.114,
14.626,0.912,15.037,32.894,47.917,3.502,34.734,
16.062,1.123,33.3,31.826,65.083,2.151,18.032,
21.287,0.644,5.251,19.088,24.339,0.758,14.183,
16.192,0.824,13.494,28.31,41.781,2.918,32.656,
14.969,1.227,28.343,34.854,63.132,1.952,59.114,
14.651,1.687,65.634,36.43,102.064,3.126,77.263,
12.738,1.235,52.59,37.268,89.746,3.377,51.259,
16.912,0.836,9.407,27.306,36.713,2.557,32.792,
12.838,1.297,38.807,46.214,84.988,5.551,46.145,
8.321,1.716,58.133,56.776,114.883,4.637,64.027,
7.291,1.066,31.54,39.285,70.826,2.383,39.616,
12.288,0.757,19.273,30.373,49.622,2.54,24.565,
6.517,1.234,36.285,43.37,79.617,3.12,29.073,
11.538,1.295,47.131,44.591,91.696,4.511,39.083,
14.373,1.664,79.673,46.433,125.162,3.386,44.875,
16.838,0.925,19.009,35.021,54.03,2.917,39.091,
15.515,1.067,23.166,43.039,66.195,4.046,48.702,
16.224,1.493,58.108,44.091,102.111,5.55,53.945,
14.628,1.919,91.51,52.628,144.072,4.29,65.995,
14.897,1.831,67.077,49.071,116.124,6.636,60.997,
8.633,3.248,183.823,71.501,255.215,5.377,49.55,
18.916,1.517,41.813,59.696,101.435,3.173,45.763,
17.165,2.472,120.218,63.047,182.711,6.1,67.528,
13.748,1.621,59.441,54.846,114.265,4.393,64.305,
11.908,1.942,100.484,52.465,153.582,5.322,77.483,
11.845,1.407,51.751,46.878,98.571,6.943,90.583,
16.796,1.16,24.309,36.515,60.811,6.54,60.435,
11.236,2.884,156.978,58.413,214.534,10.362,127.279,
7.981,1.915,78.784,50.032,128.608,4.219,76.737,
16.219,1.048,32.007,38.829,70.828,2.216,62.026,
14.268,1.539,82.654,46.425,128.906,3.991,47.322,
17.312,1.315,51.134,41.169,92.211,3.628,48.87,
16.488,1.201,30.105,40.56,70.661,3.155,39.942,
15.285,1.525,70.081,44.272,114.306,3.739,,
13.706,1.951,84.69,49.098,133.05,5.51,,
14.306,1.461,49.57,46.309,95.778,4.868,22.95,
13.553,2.619,150.928,46.554,198.404,4.822,33.433,
14.245,2.831,213.614,56.212,267.37,7.678,44.987,
9.96,1.787,27.916,38.162,66.055,4.644,63.399,
19.746,0.807,9.109,23.606,32.707,1.783,31.343,
19.404,0.658,6.069,21.134,27.203,3.11,17.83,
16.712,1.702,74.354,44.824,117.782,6.127,26.175,
15.403,1.064,22.351,36.904,59.249,3.787,33.642,
16.783,0.858,14.346,30.493,44.837,3.732,70.949,
13.865,0.803,13.911,26.659,40.57,3.423,34.482,
15.073,1.254,55.272,36.199,91.358,5.879,19.749,
15.73,1.045,24.114,35.853,59.96,6.062,25.946,
18.728,0.853,8.808,26.249,35.057,6.093,21.63,
15.552,1.664,78.146,44.622,122.657,5.681,28.681,
15.224,1.906,91.892,48.132,139.919,5.974,41.284,
17.389,2.062,25.895,32.448,58.328,5.743,45.712,
15.587,6.804,85.151,44.158,129.116,6.543,54.007,
16.801,2.918,31.709,38.976,70.579,2.52,16.41,
25.192,1.923,54.591,52.991,107.561,5.83,41.895,
25.647,2.841,86.363,63.702,150.064,7.269,50.875,
16.52,2.889,110.263,53.242,166.835,6.426,33.685,
17.269,1.631,35.844,38.762,74.588,3.433,41.64,
,0.79,13.022,33.69,46.657,2.955,27.038,
44.573,1.284,59.777,42.072,101.803,5.665,47.532,
32.068,0.769,28.619,41.561,70.118,5.511,39.518,
31.959,1.667,40.888,50.075,90.952,5.967,32.933,
29.882,1.44,67.108,53.673,120.754,5.305,28.785,
27.069,1.839,90.504,62.692,153.117,6.213,36.241,
23.431,1.589,113.272,60.074,173.171,5.49,40.009,
24.835,1.62,115.143,61.38,178.7,6.149,33.801,
23.57,2.937,210.031,65.136,275.523,8.535,49.482,
28.492,1.767,112.936,48.379,161.302,5.379,48.465,
37.617,1.099,32.332,37.863,70.113,4.079,26.917,
28.018,0.861,17.968,34.651,52.581,4.434,28.545,
26.651,1.113,29.588,45.177,74.672,4.006,41.619,
37.113,0.947,13.884,35.189,49.064,4.277,39.209,
36.614,0.973,20.004,42.714,62.712,7.003,51.402,
27.024,1.863,95.803,60.465,155.44,8.516,38.225,
30.093,1.671,75.909,55.49,130.682,6.213,35.691,
32.255,1.6,78.132,53.101,129.579,5.476,36.459,
28.256,1.916,107.806,54.219,159.672,4.484,33.935,
28.872,1.541,101.228,57.485,158.197,5.278,41.685,
31.739,2.056,153.03,60.216,213.641,5.365,41.279,
35.708,0.838,16.783,42.351,59.129,4.809,45.695,
26.791,1.702,50.942,52.88,103.733,6.001,42.557,
32.906,2.453,113.479,55.716,164.448,8.026,45.721,
29.015,1.953,72.691,51.328,122.511,4.997,50.627,
28.066,2.247,114.096,51.23,165.931,4.653,44.044,
26.635,2.484,149.772,57.357,208.112,7.341,49.348,
35.207,0.887,16.374,36.235,52.591,4.036,42.964,
36.098,1.089,17.052,40.878,57.929,4.34,42.997,
40.995,1.473,23.695,47.58,71.267,6.742,35.029,
37.14,2.191,91.833,67.773,159.545,13.149,58.907,
33.491,2.958,146.622,72.948,216.07,5.676,47.354,
42.252,0.778,8.489,32.448,40.937,4.402,82.382,
38.936,1.261,15.847,38.315,54.106,5.322,55.078,
28.78,2.168,36.036,40.483,76.47,5.204,57.849,
33.101,1.451,30.554,40.127,70.661,6.177,57.762,
36.849,2.573,36.005,48.17,84.029,6.969,49.359,
33.181,0.675,69.642,56.385,125.916,6.185,54.185,
35.702,1.075,16.592,42.723,59.297,5.583,77.523,
34.804,,11.728,39.648,51.376,5.226,61.772,
38.749,,60.518,49.418,109.936,5.574,58.67,
33.56,,22.335,44.158,66.431,7.177,59.375,
33.538,,22.969,46.634,69.526,6.306,41.897,
27.23,,63.979,70.185,136.484,7.375,43.218,
35.794,,64.039,64.845,128.838,3.398,39.566,
36.532,,53.636,71.198,124.793,4.027,42.204,
37.524,,27.88,44.732,72.555,3.806,40.249,
26.758,,60.189,48.052,108.217,3.921,56.748,
29.462,,22.698,40.332,62.931,5.052,79.607,
,,9.039,30.508,39.548,5.118,143.807,
,1.082,24.558,44.427,68.977,3.236,71.814,
41.881,1.32,34.492,52.345,86.828,3.503,73.972,
36.982,1.066,16.217,41.583,57.8,4.05,65.353,
41.502,1.053,17.986,35.6,53.585,5.546,60.214,
42.175,2.598,127.959,59.322,186.363,5.61,67.367,
28.547,1.587,90.131,63.988,154.096,5.615,66.638,
26.303,3.703,58.828,57.033,115.803,3.961,70.032,
43.516,,90.419,59.389,147.462,5.679,67.662,
34.541,1.099,176.349,74.194,248.953,3.309,66.343,
37.573,2.107,62.981,61.641,124.546,4.719,74.032,
38.433,1.026,16.184,39.44,55.251,3.295,80.754,
39.834,1.266,32.406,49.917,82.288,3.458,69.103,
27.724,2.126,95.511,60.43,154.503,5.396,82.195,
29.15,2.699,166.305,61.717,223.847,4.893,78.061,
