Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,5.8,10.6,1,,61,0.25,6.6,8.1,18.3,,,,,
2,6.3,10.4,2.8,,48,,9.3,10.2,18.3,,,,,
3,6.8,10,3.8,,47,,7.4,6.5,14.8,,,,,
4,5.6,8,2,,61,,6.3,12.4,22.2,,,,,
5,4.1,8,,,62,4.06,8.9,18.5,44.6,,,,,
6,3.9,9,-1,,49,,9.8,8,18.3,,,,,
7,5.1,9.4,0.8,,44,,8.7,5.9,14.8,,,,,
8,6.1,10.2,0.2,,45,,6.9,7.4,14.8,,,,,
9,4.7,8.4,0.7,,54,0.25,9.3,10.7,22.2,,,,,
10,4.1,7.4,0.8,,51,2.79,9.5,8.1,18.3,,,,,
11,3,8.2,,,56,,9.2,13,29.4,,,,,
12,2.9,7.4,-2,,47,,9.7,8,14.8,,,,,
13,3.7,7.6,0.5,,52,,7.7,10.6,33.5,,,,,
14,3.7,7,,,63,,6.8,12.8,29.4,,,,,
15,4.4,8.4,,,47,,8.2,6.3,14.8,,,,,
16,4.6,8,2.4,,48,,6.4,7.2,14.8,,,,,
17,4.2,6,3,,60,,7.7,9.6,18.3,,,,,
18,2.6,4.4,1.6,,77,,5.3,8,14.8,,,,,
19,0.7,2,-0.6,,93,1.02,1.8,2.8,11.1,,,,,
20,1.5,5.2,-1,,79,6.86,3.9,10,22.2,,,,,
21,2.4,4.6,-1.5,,69,,3.7,7.6,11.1,,,,,
22,3,6,,,71,,4.8,14.1,22.2,,,,,
23,2.4,5.2,,,75,10.67,7.1,16.1,37,,,,,
24,3.7,8.5,-1.4,,52,,9.8,8.1,25.9,,,,,
25,3.5,7.2,0.6,,54,,9.3,9.8,14.8,,,,,
26,2.9,7,-1.2,,47,,9,9.8,22.2,,,,,
27,3.9,8.2,-1,,45,,8.9,10.2,22.2,,,,,
28,4.7,9,1,,41,,7.2,6.5,14.8,,,,,
29,4.8,9.2,,,46,,5.3,5.9,14.8,,,,,
30,5.9,10.4,1,,43,,7.9,17,37,55.4,,,,
31,6.7,12.4,1.4,,39,,10,8.9,29.4,,,,,
32,4.1,7.8,0.4,,55.7,25.9,7.5,9.6,21.3,,10,6,1,1
33,6.2,11,2,,34,,9.7,17.4,55.4,,,,,
34,3.4,7.2,,,44,1.27,10.1,30,44.6,,,,,
35,3.4,8,-2,,38,,9.7,7.6,18.3,,,,,
36,6.7,11.2,0.6,,36,,9.3,19.4,40.7,55.4,,,,
37,8.9,12.8,3.6,,40,,10,26.7,48.2,,,,,
38,10.8,16,4.4,,30,,10,19.3,48.2,,,,,
39,12.6,18,4.8,,30,,10.3,9.6,25.9,,,,,
40,13.5,18.6,10,,30,,10,14.1,44.6,,,,,
41,8.9,13.6,3,,26,,10,21.5,40.7,,,,,
42,3.3,8,-3,,38,,9,19.8,37,,,,,
43,-2.4,1,-6.2,,55,3.56,9,27,40.7,51.9,,,,
44,-1.7,1.2,-7.4,,31,,10,17.2,44.6,59.4,,,,
45,5.9,11,-2.2,,38,,10,9.3,29.4,,,,,
46,6.3,12.6,-2,,42,,10,23.7,44.6,,,,,
47,3.1,7.8,-4,,30,,10.1,11.7,22.2,,,,,
48,5.9,9.4,0.8,,25,,10,7.2,14.8,,,,,
49,6.7,10,3,,45,,8.9,9.1,18.3,,,,,
50,9.1,14.4,3,,45,,7.9,8.1,14.8,,,,,
51,9.7,12,6.2,,41,,9.5,10.2,18.3,,,,,
52,5.6,9.2,3,,80,4.32,6.1,10.4,29.4,,,,,
53,9.4,15,2.2,,58,1.02,7.4,13,33.5,,,,,
54,11.8,16.2,5.8,,48,,8.9,8.3,18.3,,,,,
55,13.1,17.2,7,,36,,9.5,13.5,37,,,,,
56,13.9,18.4,10,,41,,8.7,9.8,18.3,,,,,
57,9.6,11.2,8,,84,13.21,4.3,8.9,18.3,,,,,
58,5.4,10.4,2,,80,55.63,8.2,18,40.7,,,,,
59,7.3,12,1,,58,7.37,8.7,6.7,14.8,,,,,
60,9.4,14.4,3.4,,57,,6.8,7,11.1,,,,,
61,10.9,15.2,5,,61,,3.4,7.8,18.3,,,,,
62,7.5,11.8,2.1,,44.9,86.38,8.8,14.2,30.7,,8,3,1,
63,13.7,17,8.5,,49,,6.9,11.3,18.3,,,,,
64,7.6,11.4,2,,56,1.27,10,33,48.2,51.9,,,,
65,6.2,13,1,,51,,10,19.1,37,,,,,
